season,start_time,game_date,game_id,tv,home,away,home_abbr,home_id,home_logo_id,home_name,home_total,home_is_winner,home_ap_ranking,home_record,away_abbr,away_id,away_is_winner,away_logo_id,away_name,away_total,away_record,away_ap_ranking
2023-24,7:00 PM ET,2023-11-06,2590074,ESP+,VCU,McNeese State,VCU,1672,VCURams,Rams,65,NA,NA,0-1,McNe,1490,TRUE,McNeeseStateCowboys,Cowboys,76,1-0,NA
2023-24,7:00 PM ET,2023-11-06,2600724,NA,Mercer,Clark Atlanta,Mercer,1494,MercerBears,Bears,64,NA,NA,0-1,ClaAtl,3401,TRUE,ClarkAtlantaPanthers,Panthers,71,1-0,NA
2023-24,7:30 PM ET,2023-11-06,2600011,NA,Vermont,Merrimack,Ver,1675,VermontCatamounts,Catamounts,67,TRUE,NA,1-0,Merrim,5417,NA,MerrimackWarriors,Warriors,55,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2594915,ESP+,Miami (FL),NJIT,Mia-Fl,1496,MiamiFLHurricanes,Hurricanes,101,TRUE,13,1-0,NJIT,1958,NA,NJITHighlanders,Highlanders,60,0-1,NA
2023-24,8:30 PM ET,2023-11-06,2592932,ESP+,Middle Tennessee,Northern Kentucky,MiddTn,1500,MiddleTennesseeBlueRaiders,Blue Raiders,74,TRUE,NA,1-0,NorKY,5404,NA,NorthernKentuckyNorse,Norse,57,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2602189,NA,Milwaukee,Wisconsin-Stout,UW-Mil,1702,MilwaukeePanthers,Panthers,91,TRUE,NA,1-0,WIStou,5461,NA,WisconsinStoutBlueDevils,Blue Devils,73,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2595034,ESP+,Missouri,UAPB,Missou,1507,MissouriTigers,Tigers,101,TRUE,NA,1-0,UAPB,1304,NA,UAPBGoldenLions,Golden Lions,79,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2581258,ESP+,West Virginia,Missouri State,WVU,1689,WestVirginiaMountaineers,Mountaineers,67,TRUE,NA,1-0,MoStU,1631,NA,MissouriStateBears,Bears,59,0-1,NA
2023-24,9:00 PM ET,2023-11-06,2590130,NA,Montana State,Northwest Indian,MontSt,1511,MontanaStateBobcats,Bobcats,103,TRUE,NA,1-0,NWIND,25046,NA,NorthwestIndianEagles,Eagles,63,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2599486,ESP+,Murray State,Midway,Murray,1516,MurrayStateRacers,Racers,91,TRUE,NA,1-0,Midway,34697,NA,MidwayEagles,Eagles,58,0-1,NA
